metric,total_count,mean_per_mcq,pct_of_total_replacements
fallback_count,179.0,0.9944,100.0%
nli_replaced,65.0,0.3611,36.3%
leak_replaced,63.0,0.35,35.2%
length_replaced,27.0,0.15,15.1%
blocklist_replaced,0.0,0.0,0.0%
dup_replaced,0.0,0.0,0.0%

language,n,fallback_mean,nli_mean,leak_mean,length_mean,blocklist_mean,dup_mean
Arabic,60,1.5167,0.6167,0.4333,0.25,0.0,0.0
English,60,0.4333,0.15,0.15,0.0667,0.0,0.0
Yoruba,60,1.0333,0.3167,0.4667,0.1333,0.0,0.0

variant,n,fallback_mean,nli_mean,leak_mean,length_mean,blocklist_mean,dup_mean
adversarial-hard-negative,45,1.9556,0.6444,0.8444,0.2667,0.0,0.0
adversarial-length-locked,45,1.0667,0.2667,0.4889,0.1556,0.0,0.0
overgenerate-select,45,0.4667,0.2889,0.0222,0.0889,0.0,0.0
taxonomy-guided,45,0.4889,0.2444,0.0444,0.0889,0.0,0.0
