task,strategy,lang,source_proverb,correct_text,correct_answer,Choice_A,Choice_B,Choice_C,Choice_D
b,Strategy_1,English,No man can serve two masters,A person cannot divide their loyalties or pursue two contradictory goals.,C,One should not criticize others for faults similar to one's own and risk retaliation.,Make sure your own debts are paid before lending to others.,A person cannot divide their loyalties or pursue two contradictory goals.,Mistakes or mishaps are inevitable.
b,Strategy_1,English,Never test the depth of water with both feet,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.",B,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.","If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.",One should not criticize others for faults similar to one's own and risk retaliation.,Something beautiful or amazing can easily be followed by something mundane or foolish.
b,Strategy_1,English,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.,D,One who imitat es a desired quality with confidence will eventually realize that quality.,"It is important to think of the needs of others, not only your own.",Translating a sentence perfectly from one language to another is technically impossible.,Don't be hasty in evaluating one's assets.
b,Strategy_1,English,"Translators, traitors",Translating a sentence perfectly from one language to another is technically impossible.,B,A single sign does not mean that a major change has occurred.,Translating a sentence perfectly from one language to another is technically impossible.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",Something beautiful or amazing can easily be followed by something mundane or foolish.
b,Strategy_1,English,Rain on someone's parade.,Spoil someone's plans.,B,Nothing is for free.,Spoil someone's plans.,You can’t explain why people fall in love with each other.,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well."
b,Strategy_1,English,Marriage makes or mars a man,Being married can either help or hinder you in your life.,A,Being married can either help or hinder you in your life.,Translating a sentence perfectly from one language to another is technically impossible.,People are more likely to believe in a foreign expert than one from their own kin.,Mistakes or mishaps are inevitable.
b,Strategy_1,English,God tempers the wind to the shorn lamb.,Heaven is more kind to the weak.,A,Heaven is more kind to the weak.,Translating a sentence perfectly from one language to another is technically impossible.,Rescued at the last moment.,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes."
b,Strategy_1,English,"If you can't beat 'em, join 'em",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,A,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,Make sure your own debts are paid before lending to others.,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,People are more likely to believe in a foreign expert than one from their own kin.
b,Strategy_1,English,There's small choice in rotten apples,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",D,Nothing is for free.,Mistakes or mishaps are inevitable.,"It is important to think of the needs of others, not only your own.","If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
b,Strategy_1,English,"He is unworthy to live, who lives only for himself","It is important to think of the needs of others, not only your own.",A,"It is important to think of the needs of others, not only your own.","If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",Don't be hasty in evaluating one's assets.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
