task,strategy,lang,source_proverb,correct_text,correct_answer,Choice_A,Choice_B,Choice_C,Choice_D
a,Strategy_2,English,No man can serve two masters,A person cannot devote themselves to two different authorities,C,Two masters are served by no man,No man is served by two masters,A person cannot devote themselves to two different authorities,Two masters can serve no man
a,Strategy_2,English,Never test the depth of water with both feet,It's unwise to fully commit to a situation without knowing its risks,B,Test the depth of water with both feet to be sure,It's unwise to fully commit to a situation without knowing its risks,Never test the depth of water unless with both feet,Always test the depth of water with both feet
a,Strategy_2,English,Count your chickens before they are hatched,Don't assume something will happen until it has actually happened,D,Count your chickens only after they have all hatched,Hatch your chickens before you count them,Hatch all your chickens before counting any of them,Don't assume something will happen until it has actually happened
a,Strategy_2,English,"Translators, traitors",Interpreters are often seen as deceivers,B,Traitors are similar to translators,Interpreters are often seen as deceivers,Translators can never be traitors,Traitors always make good translators
a,Strategy_2,English,Rain on someone's parade.,Spoil someone's plans,B,Wait for rain to start a parade,Spoil someone's plans,Plan a parade for rainy days,Have a parade in the rain
a,Strategy_2,English,Marriage makes or mars a man,Marriage either makes a man successful or ruins him,A,Marriage either makes a man successful or ruins him,Marriage is made or marred by a man,A man makes or mars his marriage,Marriage mars a man who makes it
a,Strategy_2,English,God tempers the wind to the shorn lamb.,God moderates his punishment to the vulnerable,A,God moderates his punishment to the vulnerable,God strengthens the wind for the shorn lamb,The shorn lamb tempers God's wind,The wind tempers God to the shorn lamb
a,Strategy_2,English,"If you can't beat 'em, join 'em","If you can't beat 'em, join 'em",A,"If you can't beat 'em, join 'em",Be just before you are generous,"Wise men learn by other men’s mistakes, fools by their own","A prophet is not without honor, save in his own country"
a,Strategy_2,English,There's small choice in rotten apples,"When apples are rotten, the selection is limited",D,Rotten apples are the only choice,Apples are rotten because of limited choice,The best apples are always rotten,"When apples are rotten, the selection is limited"
a,Strategy_2,English,"He is unworthy to live, who lives only for himself","He is not deserving of life, if it's solely dedicated to his own interests",A,"He is not deserving of life, if it's solely dedicated to his own interests","He is worthy to live, if he lives only for himself","He is unworthy to live, unless others live for him","It's only worth living, if you live for someone else"
a,Strategy_2,English,"Wise men learn by other men’s mistakes, fools by their own","Wise individuals gain knowledge from the errors of others, while foolish ones learn from their personal mistakes",A,"Wise individuals gain knowledge from the errors of others, while foolish ones learn from their personal mistakes","Wise men learn by their own mistakes, fools by other men's","Fools learn by other men's successes, wise men by their own","Fools learn from their own successes, wise men from other men's mistakes"
a,Strategy_2,English,Love is without reason,Love is without reason,C,Never test the depth of water with both feet,"If you're not paying, you're the product",Love is without reason,From the sublime to the ridiculous is but a step
a,Strategy_2,English,Every law has a loophole,Every rule has an exception,C,Loopholes have every law,Laws are loophole-free,Every rule has an exception,Every loophole has a law
a,Strategy_2,English,People who live in glass houses should not throw stones.,It's unwise for those with fragile reputations to criticize others,C,People who throw stones should live in glass houses,Those who live in glass houses can throw stones if they want to,It's unwise for those with fragile reputations to criticize others,Stones should not be thrown by people who live in brick houses
a,Strategy_2,English,"While there is life, there is hope","As long as one is alive, there is a chance for a better future",A,"As long as one is alive, there is a chance for a better future",Life is present when hope is not,"If there is no hope, then there must be no life",Hope exists as long as life does not
a,Strategy_2,English,"A prophet is not without honor, save in his own country","A prophet is always respected, except by those closest to home",B,"A prophet is always without honor, even in his own country","A prophet is always respected, except by those closest to home","A prophet is without honor, only when he is in a different land","Honor is always given to a prophet, unless he is from a foreign country"
a,Strategy_2,English,He who wills the end wills the means,He who desires the outcome is willing to accept the process,A,He who desires the outcome is willing to accept the process,The end is willed by those who do not will the means,The means are willed by those who do not will the end,He who wills the means is forced to will the end
a,Strategy_2,English,Be just before you are generous,Be just before you are generous,B,"While there is life, there is hope",Be just before you are generous,There's small choice in rotten apples,Power corrupts
a,Strategy_2,English,Burning the midnight oil,Working late into the night,A,Working late into the night,The midnight oil burns you,Oil is burned when midnight arrives,Midnight oil is burned by work
a,Strategy_2,English,When the cat's away the mice will play.,When the cat's away the mice will play.,D,"If you can't beat 'em, join 'em",Don’t throw the baby out with the bathwater,Be just before you are generous,When the cat's away the mice will play.
a,Strategy_2,English,Fake it until you make it,Fake it until you make it,A,Fake it until you make it,Power corrupts,"If you can't beat 'em, join 'em",He who wills the end wills the means
a,Strategy_2,English,Power corrupts,Authority corrupts absolutely,D,Corruption empowers,Virtue is strengthened by control,Influence is purified by power,Authority corrupts absolutely
a,Strategy_2,English,Don’t throw the baby out with the bathwater,Don't discard something valuable in the process of getting rid of something unwanted,D,Only throw out the baby if you're keeping the bathwater,Discard the baby but save the bathwater,Throw the bathwater out with the baby,Don't discard something valuable in the process of getting rid of something unwanted
a,Strategy_2,English,Fortune favors the brave.,Fortune favors the brave.,D,Be just before you are generous,When the cat's away the mice will play.,People who live in glass houses should not throw stones.,Fortune favors the brave.
a,Strategy_2,English,Never go to bed on an argument,Never let a disagreement carry over into the night,A,Never let a disagreement carry over into the night,Always argue before going to bed,Never wake up to an argument,Always go to bed on an argument
a,Strategy_2,English,From the sublime to the ridiculous is but a step,It's just a short step from the sublime to the absurd,C,A huge leap is required to go from the sublime to the ridiculous,The step from the sublime to the ridiculous is incredibly long,It's just a short step from the sublime to the absurd,From the ridiculous to the sublime is but a step
a,Strategy_2,English,Saved by the bell.,Saved by the bell.,D,Accidents will happen,When the cat's away the mice will play.,"If you're not paying, you're the product",Saved by the bell.
a,Strategy_2,English,One swallow does not make a summer,A single swallow doesn't signify the start of summer,C,One swallow makes a summer occasionally,A summer is created by a single swallow,A single swallow doesn't signify the start of summer,Summer is made by one swallow
a,Strategy_2,English,Accidents will happen,Mishaps are inevitable,A,Mishaps are inevitable,Events will not occur,Incidents will be prevented,Happenings will accident
a,Strategy_2,English,"If you're not paying, you're the product","If you don't pay, you're what's being sold",C,"When the product pays, you're not","If you're the product, then you're not paying","If you don't pay, you're what's being sold","If the product is free, then you pay"
a,Strategy_2,Yoruba,"Bí a kò lówó, à léèyàn; bí a kò léèyàn à lóhùn rere lòrun.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",C,The filthy person destroys the appeal of a style of clothing.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,"If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",It is the person who is revered that will disgrace himself or herself.
a,Strategy_2,Yoruba,"A-kápò-má-ṣọdẹ: ọ̀tá ẹranko, ọ̀tá èèyàn.",He who bears arms but does not fight is a foe to both humans and animals,B,The enemy of animals is also a friend to the one who does not hunt with a bag,He who bears arms but does not fight is a foe to both humans and animals,Man and beast alike become the enemies of one who hunts but does not carry a bag,The hunter who spares the beast becomes an enemy to mankind alone
a,Strategy_2,Yoruba,Iwájú la ti ńjogún; ẹ̀hìn la ti ńṣàgbà.,"One's legacy comes from those who come before, and one sets a precedent for those who follow",D,"One sets an example for those who come before, and one inherits from those who follow","Those who follow inherit from their predecessors, and those who lead set an example for their peers","Those who are behind inherit from their leaders, and those who are ahead set a precedent for their equals","One's legacy comes from those who come before, and one sets a precedent for those who follow"
a,Strategy_2,Yoruba,"Ẹ̀rù kì í ba igbó, bẹ́ẹ̀ni kì í ba odò; ẹ̀rù kì í ba ọlọ lójú ata.","The wilderness and the river are equally fearless, just like the grindstone that remains unflinching amidst the hottest peppers",B,"Fear does not know the forest, and the river does not know fear; the grindstone fears the pepper's face","The wilderness and the river are equally fearless, just like the grindstone that remains unflinching amidst the hottest peppers","The forest is not feared by anyone, nor is the river; the pepper's face is what the grindstone fears","The grindstone fears the pepper, just as fear is known to the river and the forest"
a,Strategy_2,Yoruba,"Ilé tí a gbá èèyàn létí wọ̀, bó pe títí a ó gbàá èèyàn létí jáde níbẹ̀.",A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,B,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,Whoever the dog came out with is the per son the dog returns home with.,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.
a,Strategy_2,Yoruba,"Ojú ti kókó, ojú ti eéwo; ojú ti aáràgbá ìdí pẹ̀lú.","The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.",A,"The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",A child who shits on the path brings down curses on its mother. B,It is the person who is revered that will disgrace himself or herself.
a,Strategy_2,Yoruba,"Bí ẹ̀bìtì ò pa eku, a kó ẹyìn fẹ́lẹ́yìn.","If the trap doesn't catch the rat, the bait is returned to its owner",A,"If the trap doesn't catch the rat, the bait is returned to its owner","When the kernel kills the snare, the rat is returned to its owner","If the rat doesn't kill the snare, the owner gets the kernel back","If the owner doesn't kill the rat, the snare returns the kernel bait"
a,Strategy_2,Yoruba,Tojú tìyẹ́ làparò-ó fi ńríran.,The partridge sees with the help of both its eyes and feathers,A,The partridge sees with the help of both its eyes and feathers,It is with its eyes that the partridge's feathers are seen,Feathers see with the help of the partridge's eyes,The partridge's eyes see its feathers
a,Strategy_2,Yoruba,"Olórùká gbòrùka, ọwọ́ àwé dòfo.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.,D,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,It is the person who is revered that will disgrace himself or herself.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,The owner of the ring has taken back his ring; the fingers of the friend are now empty.
a,Strategy_2,Yoruba,Alágbàró ò yege; aláṣọ á gbà á bó dọ̀la.,"She who wears a borrowed wrapper skirt is not yet in the clear, for the owner will surely reclaim it the next day",A,"She who wears a borrowed wrapper skirt is not yet in the clear, for the owner will surely reclaim it the next day",The owner of the cloth will not take it back until tomorrow if she who borrows a wrapper skirt to wear is home free,"If the owner of the cloth takes it back tomorrow, then she who borrows a wrapper skirt to wear is home free","The one lending the wrapper skirt will have to return it to herself tomorrow, since she who borrows is already home free"
